id,champ,time_casa,time_visitante,resultados_casa,resultados_visitante,Posse_casa,Posse_visitante,defesas_casa,defesas_visitantes,falta_casa,falta_visitante,cartao_amarelo_casa,cartao_amarelo_visitante,cartao_vermelho_casa,cartao_vermelho_visitante,chute_fora_casa,chute_fora_visitante,escanteios_casa,escanteios_visitante
4724,"2020 Brazilian Campeonato Mineiro, Regular Season",Boa Esporte,Atletico-MG,1,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4725,Brasileirao 2017,Corinthians,Avai,1,2,66, 34,2,,15,12,3,3,0,0,0,2,7,6
4726,2019 Brasileirao,Sao Paulo,Corinthians,4,2,55, 45,2,,9,10,1,1,0,0,2,0,2,1
4727,Brasileirao 2017,Palmeiras,Vitoria,3,1,56, 44,0,,21,19,3,3,0,0,1,2,5,6
4728,Brasileirao 2017,Atletico-MG,Atletico-GO,1,1,54, 46,1,,19,13,5,5,0,0,0,3,8,2
4729,2022 Brasileiro Serie A,Athletico-PR,Fortaleza,2,0,62, 38,1,,11,10,1,1,0,0,1,0,13,4
4730,"2017 Copa Do Brasil, Round of 16",Botafogo,Sport,0,1,42, 58,3,,17,22,4,4,1,0,0,1,4,4
4731,2021 Brasileiro Serie B,Brusque,Coritiba,0,0,53, 47,1,,10,17,2,2,0,0,2,2,5,7
4732,"2022 Copa Do Brasil, Quarterfinals",Athletico-PR,Flamengo,0,2,37, 63,6,,18,6,1,1,0,0,1,1,7,4
4733,"2018 Campeonato Gaucho, Regular Season",Sao Paulo-RS,Internacional,3,2,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4734,"2021 Copa Do Brasil, Second Round",Coritiba,Operario MS,0,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4735,Brasileirao 2017,Chapecoense,Botafogo,3,0,59, 41,2,,11,13,2,2,0,0,2,4,8,3
4736,2022 Brasileiro Serie A,Fluminense,Sao Paulo,0,2,65, 35,3,,16,16,0,0,0,1,1,2,8,3
4737,"2019 Copa Do Brasil, First Round",Sao Raimundo-RR,America-MG,2,2,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4738,2021 Brasileiro Serie B,Goias,Sampaio Correa,1,1,58, 42,1,,19,15,2,2,0,0,1,1,7,4
4739,"2022 CONMEBOL Sudamericana, Group Stage",Cuiaba,River Plate,0,1,69, 31,3,,16,15,3,3,0,0,2,0,3,3
4740,2017 Serie B,ABC,Goias,2,1,62, 38,4,,22,20,2,2,0,0,6,1,6,5
4741,2021 Brasileiro Serie B,Coritiba,Remo,1,1,56, 44,1,,15,16,4,4,0,0,1,3,7,2
4742,2019 Brasileirao,Avai,Fluminense,1,1,44, 56,1,,26,20,5,5,0,0,0,0,3,4
4743,2021 Brasileiro Serie A,Bahia,Red Bull Bragantino,0,1,42, 58,4,,16,13,4,4,0,0,0,0,4,2
4744,2020-21 Brasileiro Serie B,Operario PR,Cruzeiro,0,0,44, 55,0,,14,24,2,2,0,0,3,2,11,14
4745,"2021 Campeonato Gaucho, First Round",Novo Hamburgo,Internacional,2,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4746,2020 Brasileiro Serie A,Atletico-MG,Santos,0,1,66, 34,3,,10,14,1,1,0,0,1,0,4,2
4747,"2020 Copa Sudamericana, First Phase",Goias,Sol de America,1,0,67, 33,1,,21,21,5,5,0,0,2,2,10,2
4748,Regular Season,Coritiba,CSA,2,0,49, 50,0,,3,6,3,3,0,0,0,0,0,10
4749,"2019 Campeonato Gaucho, Regular Season",Internacional,Aimore,1,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4750,2021 Brasileiro Serie A,Cuiaba,Fortaleza,1,2,36, 64,3,,22,23,3,3,0,0,4,1,1,2
4751,2019 Brasileirao,Gremio,Palmeiras,2,3,67, 33,6,,13,14,0,0,0,0,0,1,3,2
4752,2021 Brasileiro Serie A,Palmeiras,Atletico-MG,3,0,43, 57,3,,16,22,3,3,0,0,0,0,2,6
4753,2021 Brasileiro Serie B,Botafogo,Cruzeiro,1,0,52, 48,3,,16,12,4,4,0,0,0,0,6,10
4754,2021 Brasileiro Serie A,Flamengo,Atletico-MG,0,0,37, 63,2,,22,19,2,2,0,0,1,1,2,7
4755,2021 Brasileiro Serie A,Internacional,Cuiaba,0,0,58, 42,4,,20,18,3,3,1,0,2,0,2,3
4756,2022 Brasileiro Serie A,Fortaleza,Palmeiras,2,2,39, 61,5,,9,15,1,1,0,0,1,2,2,6
4757,Brasileirao 2017,Coritiba,Chapecoense,1,2,49, 51,2,,13,21,0,0,0,0,0,1,3,6
4758,"2019 Copa Libertadores, Group Stage",Cruzeiro,Emelec,0,0,52, 48,2,,11,18,3,3,0,0,3,1,7,6
4759,"2017 Copa Do Brasil, Second Round",Coritiba,ASA,3,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4760,"2022 CONMEBOL Sudamericana, Group Stage",Sao Paulo,Jorge Wilstermann,1,1,75, 25,2,,8,7,1,1,0,0,5,3,6,1
4761,"2021 Copa Libertadores, Quarterfinals",Sao Paulo,Palmeiras,1,1,60, 40,1,,20,10,1,1,0,0,2,2,3,9
4762,2021 Brasileiro Serie A,Red Bull Bragantino,America-MG,1,0,50, 50,2,,21,14,2,2,0,0,0,0,6,5
4763,"2018 Brasileiro C, Regular Season",Operario PR,Cuiaba,0,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4764,2021 Brasileiro Serie A,Fortaleza,Cuiaba,1,1,64, 36,5,,15,17,5,5,0,0,2,2,7,4
4765,"2017 Copa Libertadores, Group Stage",Sporting Cristal,Santos,4,2,50, 50,5,,21,17,1,1,0,0,1,1,6,5
4766,"2022 Campeonato Paulista, Temporada Regular",Red Bull Bragantino,Inter de Limeira,1,0,61, 39,0,,15,15,0,0,0,0,1,0,9,5
4767,2019 Brasileirao,CSA,Sao Paulo,2,1,43, 57,2,,17,24,2,2,0,1,1,1,6,4
4768,2021 Brasileiro Serie A,Santos,Atletico-MG,1,0,50, 50,3,,20,16,2,2,0,1,1,4,4,6
4769,Brasileirao 2018,Parana,Sao Paulo,1,2,46, 54,3,,14,12,1,1,0,0,2,3,4,9
4770,2022 Brasileiro Serie B,Sport,Bahia,1,0,55, 45,0,,14,11,2,2,0,0,1,2,9,5
4771,"2017 Campeonato Paulista, Torneo Paulista 2017 - Temporada Regular",Santos,Palmeiras,2,1,54, 46,7,,14,9,2,2,0,0,2,4,9,6
4772,"2021 Copa Do Brasil, Quarterfinals",Flamengo,Gremio,1,1,64, 36,3,,13,18,5,5,0,0,0,0,4,4
4773,"2019 Copa do Nordeste, Copa do Nordeste - Group Stage",Bahia,CRB,1,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4774,"2017 Copa do Nordeste, Copa do Nordeste - Group Stage",Fortaleza,Altos PI,4,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4775,"2018 Campeonato Carioca, Brazil Carioca - Taca Rio",Flamengo,Portuguesa-RJ,2,2,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4776,"2019-20 Campeonato Carioca, Taca Rio Playoffs - Semifinals",Flamengo,Volta Redonda,0,nan,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4777,"2019-20 Campeonato Carioca, 2020 Taca Rio",Vasco da Gama,Fluminense,nan,nan,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4778,,nan,,nan,nan,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4779,,nan,,nan,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4780,,nan,,2,2,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4781,2021 Brasileiro Serie A,Santos,Red Bull Bragantino,2,0,43, 57,3,,11,10,1,1,0,0,3,0,5,7
4782,2022 Brasileiro Serie A,Avai,Palmeiras,0,0,49, 51,2,,18,17,1,1,0,0,0,1,2,5
4783,"2018 Brazilian Campeonato Miniero, Brasil Mineiro",Boa Esporte,Atletico-MG,2,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4784,"2018 Copa Libertadores, Group Stage",Corinthians,Deportivo Lara,1,1,68, 32,1,,11,15,2,2,0,0,1,4,9,2
4785,"2019 Campeonato Paulista, Temporada Regular",Palmeiras,Ponte Preta,1,1,50, 50,1,,12,13,2,2,0,0,1,0,4,1
4786,2022 Brasileiro Serie A,Fortaleza,Sao Paulo,1,1,54, 46,1,,16,14,3,3,0,0,3,2,9,4
4787,"2017 Campeonato Gaucho, Regular Season",Novo Hamburgo,Gremio,4,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4788,"2021 Campeonato Gaucho, Semifinals",Internacional,Juventude,2,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4789,"2018 Copa Sudamericana, First Phase","""Newells Old Boys""",Athletico-PR,0,2,58, 42,2,,19,14,2,2,0,0,2,4,6,0
4790,2021 Brasileiro Serie B,Remo,Botafogo,0,0,63, 37,0,,11,15,3,3,0,0,2,0,4,2
4791,"2017 Copa Do Brasil, First Round",Atletico Acreano,America-MG,3,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4792,2019 Brasileirao,Goias,Fluminense,0,2,29, 71,2,,16,10,0,0,1,0,1,1,4,8
4793,2017 Serie B,Goias,Ceara,1,1,56, 44,1,,21,18,4,4,0,0,2,2,5,3
4794,"2019 Copa Do Brasil, Round of 16",Santos,Atletico-MG,1,0,55, 45,5,,14,13,3,3,0,0,1,0,3,9
4795,2020 Brasileiro Serie A,Atletico-GO,Botafogo,4,1,53, 47,4,,16,12,3,3,0,0,2,0,7,5
4796,2022 Brasileiro Serie A,Fluminense,Corinthians,0,4,58, 42,2,,11,12,3,3,0,0,4,0,6,4
4797,"2020 Brazilian Campeonato Mineiro, Regular Season",Caldense,Cruzeiro,2,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4798,"2017 Copa Do Brasil, Second Round",PSTC,Sao Paulo,2,1,42, 58,3,,18,18,3,3,0,0,1,1,3,2
4799,2019 Brasileirao,Internacional,Flamengo,4,nan,46, 54,4,,8,9,2,2,0,0,1,3,4,5
4800,"2017 Copa Libertadores, Group Stage",Gremio,Guarani,nan,nan,48, 52,1,,6,14,2,2,0,1,1,1,9,2
4801,,nan,,nan,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4802,,nan,,1,2,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4803,"2022 CONMEBOL Libertadores, Group Stage",Athletico-PR,The Strongest,1,2,69, 31,1,,16,18,3,3,0,0,1,3,5,2
4804,"2021 Brazilian Campeonato Mineiro, Regular Season",Uberlandia,America-MG,2,4,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4805,Brasileirao 2018,Bahia,Sao Paulo,2,1,48, 52,2,,20,14,3,3,0,0,1,1,3,3
4806,Brasileirao 2017,Bahia,Palmeiras,2,1,62, 38,1,,14,23,5,5,0,0,2,1,3,5
4807,2020 Brasileiro Serie A,Bahia,Red Bull Bragantino,2,0,43, 57,2,,16,16,1,1,0,0,2,1,3,7
4808,2022 Brasileiro Serie A,Santos,Coritiba,0,0,35, 65,5,,22,10,4,4,0,0,2,0,4,7
4809,Brasileirao 2018,Gremio,Internacional,2,0,77, 23,1,,13,24,4,4,0,0,0,0,11,1
4810,2021 Brasileiro Serie A,Santos,Fluminense,1,0,45, 55,4,,18,10,2,2,0,0,0,0,2,4
4811,Brasileirao 2018,Gremio,America-MG,1,2,62, 38,3,,14,13,3,3,0,0,0,0,7,4
4812,2021 Brasileiro Serie A,Corinthians,Fortaleza,1,1,58, 42,2,,18,26,3,3,0,0,0,2,8,4
4813,2020 Brasileiro Serie A,Red Bull Bragantino,Coritiba,2,0,47, 53,2,,17,18,0,0,1,0,1,2,10,4
4814,2021 Brasileiro Serie B,Operario PR,Cruzeiro,2,0,59, 41,3,,19,13,1,1,0,1,1,0,5,4
4815,Brasileirao 2017,Flamengo,Sao Paulo,2,1,48, 52,2,,17,14,1,1,0,0,5,0,10,0
4816,2017 Serie B,Internacional,Santa Cruz,2,0,47, 53,4,,24,15,1,1,0,0,2,0,10,4
4817,"2020 Campeonato Paulista, Temporada Regular",Santo Andre,Sao Paulo,2,1,22, 78,9,,13,9,0,0,0,0,0,0,3,11
4818,Brasileirao 2018,Flamengo,Chapecoense,0,1,62, 38,3,,17,13,2,2,0,0,1,1,8,3
4819,2019 Brasileirao,Fortaleza,Internacional,3,0,55, 45,1,,14,14,2,2,1,0,0,4,7,0
4820,"2022 Brazilian Campeonato Mineiro, Playoffs - Finals",Atletico-MG,Cruzeiro,1,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4821,"2018 Copa do Nordeste, Copa do Nordeste - Final",Sampaio Correa,Bahia,2,2,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4822,"2021 Campeonato Paulista, Temporada Regular",Red Bull Bragantino,Santo Andre,1,0,64, 36,1,,11,12,1,1,0,0,1,1,9,5
4823,2022 Brasileiro Serie A,Flamengo,Fortaleza,2,0,66, 34,3,,9,21,4,4,0,0,2,5,9,3
4824,2022 Brasileiro Serie A,Corinthians,Juventude,0,0,57, 43,2,,15,12,4,4,0,0,3,4,4,5
4825,2019 Brasileirao,Fluminense,Flamengo,0,1,64, 36,2,,14,17,3,3,0,0,1,0,5,2
4826,2021 Brasileiro Serie B,Londrina,Goias,1,1,43, 57,4,,15,15,2,2,1,0,1,0,4,4
4827,Brasileirao 2017,Fluminense,Cruzeiro,1,1,49, 51,5,,21,18,3,3,0,0,0,3,8,4
4828,2021 Brasileiro Serie B,Coritiba,Confianca,0,0,69, 31,0,,17,14,1,1,0,0,2,1,7,1
4829,Regular Season,Ponte Preta,America-MG,1,0,59, 41,6,,13,19,1,1,2,0,2,1,5,4
4830,2021 Brasileiro Serie A,Internacional,Gremio,1,1,40, 60,5,,19,17,3,3,1,1,1,1,4,8
4831,2021 Brasileiro Serie A,Corinthians,Athletico-PR,3,1,66, 34,2,,14,19,3,3,0,0,1,1,10,3
4832,"2021 Copa Sudamericana, Group Stage",Gremio,Lanus,1,1,62, 38,1,,16,19,4,4,0,0,0,5,5,5
4833,2019 Brasileirao,Santos,Athletico-PR,2,4,61, 39,3,,8,15,6,6,0,0,1,1,12,3
4834,Brasileirao 2017,Ponte Preta,Athletico-PR,2,1,40, 60,1,,12,10,3,3,0,0,1,1,5,6
4835,"2022 CONMEBOL Sudamericana, Round of 16",Universidad Catolica,Sao Paulo,3,0,71, 29,1,,5,10,4,4,0,3,2,0,8,6
4836,2021 Brasileiro Serie B,Coritiba,Operario PR,2,3,45, 55,5,,17,12,3,3,0,0,3,2,8,2
4837,"2021 Copa Sudamericana, Semifinals",Red Bull Bragantino,Libertad,0,2,49, 51,1,,18,16,2,2,0,0,3,2,3,5
4838,"2018 Campeonato Paulista, Torneo Paulista 2018 - Temporada Regular",Ituano,Palmeiras,1,0,39, 61,9,,12,17,1,1,0,0,1,3,3,10
4839,2020 Brasileiro Serie A,Gremio,Sao Paulo,1,0,51, 48,0,,18,18,4,4,1,0,0,0,6,5
4840,Brasileirao 2017,Santos,Coritiba,2,1,47, 53,11,,24,17,4,4,0,0,1,2,3,4
4841,Brasileirao 2018,Internacional,America-MG,0,1,47, 53,2,,19,20,2,2,0,0,2,2,7,4
4842,2020 Brasileiro Serie A,Santos,Atletico-GO,2,0,59, 41,0,,18,21,3,3,0,0,1,2,7,2
4843,Brasileirao 2018,Ceara,Atletico-MG,2,0,37, 63,2,,13,21,4,4,0,0,2,3,3,6
4844,"2017 Copa Do Brasil, Round of 16",Santos,Paysandu,1,1,70, 30,4,,13,10,3,3,0,0,3,3,9,4
4845,2021 Brasileiro Serie A,Internacional,Fortaleza,1,1,59, 41,4,,12,15,1,1,1,1,2,1,8,4
4846,Brasileirao 2017,Vasco da Gama,Atletico-MG,1,0,55, 45,4,,12,17,0,0,0,0,3,6,14,4
4847,"2021 Copa Sudamericana, Group Stage",Montevideo City Torque,Bahia,0,1,65, 35,1,,15,24,3,3,0,0,1,0,3,2
4848,2020-21 Brasileiro Serie B,Juventude,America-MG,0,1,53, 46,0,,18,15,2,2,0,0,1,3,15,5
4849,Brasileirao 2018,Santos,Cruzeiro,2,1,55, 45,3,,12,12,4,4,0,0,0,0,5,7
4850,2020-21 Brasileiro Serie B,America-MG,Confianca,2,1,36, 64,2,,19,20,1,1,0,0,1,0,4,6
4851,2019 Brasileirao,Gremio,Ceara,3,1,68, 32,4,,11,19,3,3,0,0,1,1,4,4
4852,"2017 Campeonato Paulista, Torneo Paulista 2017 - Temporada Regular",Santos,Novorizontino,1,0,65, 35,1,,22,15,4,4,0,0,3,3,8,3
4853,2021 Brasileiro Serie A,Chapecoense,Athletico-PR,2,1,38, 62,2,,17,13,5,5,0,0,3,0,5,8
4854,"2018 Copa Libertadores, Semifinals",Boca Juniors,Palmeiras,2,2,57, 43,2,,16,14,2,2,0,0,0,0,5,3
4855,2022 Brasileiro Serie A,Cuiaba,Coritiba,1,1,57, 43,1,,9,8,3,3,0,1,2,2,8,1
4856,2021 Brasileiro Serie B,Goias,Vila Nova-GO,1,1,57, 43,3,,20,14,4,4,0,0,0,2,7,9
4857,"2019 Campeonato Paulista, Temporada Regular",RB Brasil,Palmeiras,2,0,49, 51,1,,19,11,1,1,0,0,0,3,9,5
4858,"2021 Campeonato Gaucho, First Round",Juventude,Gremio,1,2,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4859,Brasileirao 2017,Corinthians,Cruzeiro,1,0,52, 48,2,,9,16,1,1,0,0,6,4,6,7
4860,2020 Brasileiro Serie A,Coritiba,Bahia,1,2,53, 47,3,,12,12,4,4,0,0,1,1,7,5
4861,"2019 Campeonato Gaucho, Regular Season",Internacional,Brasil de Pelotas,1,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4862,"2019 Copa Libertadores, Quarterfinals",Palmeiras,Gremio,0,0,60, 40,1,,15,13,5,5,0,0,0,0,7,2
4863,"2019 Copa Do Brasil, Round of 16",Fortaleza,Athletico-PR,3,0,38, 62,3,,14,19,2,2,0,0,0,2,1,1
4864,"2019 Campeonato Gaucho, Regular Season",Gremio,Juventude,3,2,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4865,"2020 Brazilian Campeonato Mineiro, Regular Season",Cruzeiro,URT,5,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4866,2021 Brasileiro Serie A,Internacional,Chapecoense,2,4,51, 49,2,,16,14,1,1,0,0,1,1,7,7
4867,"2019 Campeonato Paulista, Temporada Regular",Guarani,Corinthians,2,2,38, 62,0,,13,11,1,1,0,0,0,1,6,8
4868,"2020 Copa Do Brasil, First Round",Moto Club,Fluminense,0,0,34, 66,3,,21,16,4,4,0,0,1,3,7,4
4869,"2017 Campeonato Gaucho, Quarterfinals",Cruzeiro-RS,Internacional,0,0,44, 56,3,,14,25,1,1,0,0,2,2,4,3
4870,"2021 Campeonato Carioca, Taca Guanabara",Botafogo,Boavista,1,2,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4871,"2021 Copa Sudamericana, Quarterfinals",Red Bull Bragantino,Rosario Central,1,1,41, 59,3,,17,15,4,4,0,0,2,3,5,10
4872,Brasileirao 2017,Sao Paulo,Coritiba,1,1,67, 33,2,,18,15,5,5,0,0,2,1,10,2
4873,2021 Brasileiro Serie A,Sao Paulo,Ceara,1,2,64, 36,6,,18,14,3,3,0,0,3,0,10,11
4874,"2018 Campeonato Gaucho, Regular Season",Sao Luiz-RS,Gremio,0,2,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4875,2021 Brasileiro Serie A,Chapecoense,Palmeiras,0,0,53, 47,5,,16,14,2,2,0,0,1,1,8,1
4876,"2018 Copa Libertadores, Round of 16",Flamengo,Cruzeiro,1,0,64, 36,2,,8,14,2,2,0,0,0,1,13,4
4877,"2018 Campeonato Carioca, Brazil Carioca - Taca Guanabara",Flamengo,Bangu,0,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4878,Brasileirao 2018,Santos,Gremio,1,1,51, 49,3,,14,8,1,1,0,0,0,0,5,1
4879,"2020 Campeonato Paulista, Temporada Regular",Corinthians,Ituano,1,2,70, 30,2,,8,12,4,4,0,0,4,1,13,4
4880,2022 Brasileiro Serie A,Red Bull Bragantino,Ceara,0,1,58, 42,1,,23,16,4,4,0,0,1,2,10,2
4881,"2017 Copa Do Brasil, First Round",Princesa do Solimoes,Internacional,0,1,33, 67,6,,16,10,2,2,0,0,1,2,4,9
4882,2019 Brasileirao,Vasco da Gama,Santos,0,1,42, 58,3,,15,17,2,2,0,1,1,1,8,2
4883,2021 Brasileiro Serie B,Londrina,Cruzeiro,1,0,59, 41,5,,23,16,4,4,0,0,0,5,3,3
4884,2019 Brasileirao,Athletico-PR,Chapecoense,2,2,70, 30,1,,14,13,1,1,0,0,6,1,9,3
4885,2022 Brasileiro Serie A,Santos,Athletico-PR,0,1,48, 52,3,,19,21,3,3,0,0,1,2,5,4
4886,Regular Season,Brasil de Pelotas,Coritiba,1,2,65, 35,3,,13,17,1,1,0,0,0,0,4,4
4887,"2018 Brazilian Campeonato Miniero, Brasil Mineiro",Villa Nova-MG,America-MG,2,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4888,2019 Brasileirao,Corinthians,Ceara,2,1,61, 39,4,,9,10,1,1,0,0,2,2,5,8
4889,2019 Brasileirao,Fortaleza,Chapecoense,5,0,53, 47,5,,18,17,2,2,0,0,4,1,2,6
4890,"2022 Brazilian Campeonato Mineiro, Regular Season",Cruzeiro,Pouso Alegre,2,2,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4891,"2017 Campeonato Carioca, Brazil Carioca - Taca Guanabara",Madureira,Botafogo,1,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4892,"2022 CONMEBOL Libertadores, Group Stage",Atletico-MG,Deportes Tolima,0,2,73, 27,2,,8,6,3,3,0,0,1,1,16,2
4893,"2019 Copa Libertadores, Group Stage",Gremio,Libertad,2,2,67, 33,2,,14,14,3,3,0,0,1,0,1,3
4894,"2018 Campeonato Paulista, Torneo Paulista 2018 - Temporada Regular",Palmeiras,Linense,0,1,59, 41,2,,11,10,1,1,0,0,5,2,7,5
4895,Regular Season,Coritiba,Guarani,1,1,61, 38,0,,13,16,2,2,1,0,1,0,18,6
4896,"2019 Brazilian Campeonato Miniero, Brasil Mineiro",Caldense,America-MG,1,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4897,"2021 Campeonato Carioca, Taca Guanabara",Fluminense,Vasco da Gama,1,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4898,2022 Brasileiro Serie A,Corinthians,Goias,2,1,66, 34,2,,7,13,4,4,0,0,3,1,6,4
4899,"2019 Copa Libertadores, Finals",Flamengo,River Plate,4,0,61, 39,1,,12,27,3,3,1,1,2,4,2,3
4900,2019 Brasileirao,Santos,Cruzeiro,2,3,56, 44,1,,16,19,2,2,0,0,4,1,10,4
4901,"2020 Campeonato Paulista, Temporada Regular",Santos,Inter de Limeira,0,3,62, 38,2,,8,18,2,2,0,0,2,1,7,8
4902,"2021 Campeonato Paulista, Temporada Regular",Ituano,Sao Paulo,1,1,26, 74,1,,14,13,2,2,2,0,0,6,5,1
4903,"2020 Campeonato Paulista, Quarterfinals",Santos,Ponte Preta,0,2,43, 57,2,,17,14,1,1,1,0,1,3,4,8
4904,Brasileirao 2017,Flamengo,Gremio,3,2,61, 39,2,,12,20,2,2,0,0,1,1,8,2
4905,"2021 Campeonato Paulista, Temporada Regular",Palmeiras,Santos,0,0,57, 43,4,,8,18,4,4,0,0,1,1,5,6
4906,"2019 Copa Do Brasil, First Round",Sergipe SE,Goias,1,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4907,"2022 CONMEBOL Libertadores, Group Stage",Libertad,Athletico-PR,3,0,36, 64,1,,7,9,4,4,0,0,0,1,5,11
4908,Brasileirao 2018,Atletico-MG,Athletico-PR,4,1,53, 47,5,,13,14,5,5,0,1,3,0,6,7
4909,2022 Brasileiro Serie B,Cruzeiro,Nautico,2,1,65, 35,0,,10,16,3,3,0,1,4,1,6,5
4910,"2021 Copa Libertadores, Final",Palmeiras,Flamengo,5,0,36, 64,1,,18,16,3,3,0,0,0,2,4,9
4911,"2019 Campeonato Paulista, Temporada Regular",Ituano,Santos,1,1,22, 78,1,,14,10,3,3,0,0,2,3,3,11
4912,Brasileirao 2017,Coritiba,Cruzeiro,1,1,36, 64,2,,7,9,1,1,0,0,2,0,7,7
4913,2019 Brasileirao,Fluminense,Santos,0,2,48, 52,6,,12,15,2,2,2,1,2,1,1,5
4914,2020 Brasileiro Serie A,Sport,Santos,1,2,41, 59,4,,23,17,2,2,0,0,1,1,4,5
4915,2019 Brasileirao,Internacional,Goias,1,2,69, 31,4,,22,24,4,4,0,0,3,2,12,3
4916,"2018 Brazilian Campeonato Miniero, Brasil Mineiro",Atletico-MG,Caldense,1,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4917,"2021 Copa Do Brasil, Second Round",Luverdense,Red Bull Bragantino,0,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4918,2019 Brasileirao,Athletico-PR,Sao Paulo,2,4,65, 35,1,,21,12,3,3,0,0,0,3,6,1
4919,"2021 Campeonato Paulista, Temporada Regular",Corinthians,Novorizontino,1,1,57, 43,3,,20,14,2,2,0,0,1,2,4,5
4920,2022 Brasileiro Serie B,Ponte Preta,Cruzeiro,2,0,46, 54,2,,14,10,2,2,0,0,1,6,7,9
4921,"2021 Campeonato Carioca, Taca Rio Playoffs - Semifinals",Vasco da Gama,Madureira,0,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4922,Regular Season,Coritiba,Operario PR,2,2,56, 44,2,,25,16,2,2,0,0,0,1,4,3
4923,"2020 Campeonato Paulista, Temporada Regular",Ituano,Santos,0,2,34, 66,3,,16,11,2,2,0,0,3,2,6,11
4924,2022 Brasileiro Serie A,Fluminense,Atletico-GO,2,2,47, 53,6,,10,13,2,2,1,0,2,3,10,6
4925,2022 Brasileiro Serie A,Athletico-PR,Cuiaba,1,3,63, 37,3,,9,10,1,1,0,1,2,2,8,4
4926,"2022 Campeonato Carioca, Carioca Championship - Semifinals",Fluminense,Botafogo,3,0,60, 40,1,,22,16,5,5,1,0,2,3,2,2
4927,Brasileirao 2018,Atletico-MG,Chapecoense,0,1,72, 28,0,,15,19,3,3,0,1,0,6,6,3
4928,"2018 Campeonato Paulista, Torneo Paulista 2018 - Temporada Regular",Sao Paulo,Ferroviaria,1,1,63, 37,2,,15,15,0,0,0,0,1,2,12,3
4929,"2020 Brazilian Campeonato Mineiro, Regular Season",America-MG,Boa Esporte,0,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4930,2022 Brasileiro Serie A,Coritiba,Athletico-PR,0,0,61, 39,2,,12,11,6,6,2,0,3,2,12,1
4931,"2019 Copa Do Brasil, Round of 16",Corinthians,Flamengo,1,1,43, 57,3,,11,11,1,1,0,0,0,0,7,6
